,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,simplifiedMarketChannelDirectedness,farmGatePricePerKg
645,CAJAMARCA,CHOTA,CHOTA,2772,2,1,0.7692307692307693,0.810126582278481,0.2777777777777777,1.59,0.337,1.47,1,0,0,0,0.0104,0.004,1.5,0.0,0.42,2,1,1.6
646,CAJAMARCA,CHOTA,CHOTA,2772,19,3,0.01818181818181818,0.15384615384615385,0.5988023952095808,1.59,0.337,1.47,0,0,0,0,0.0104,0.01,0.875,0.0,0.42,2,1,1.0
647,CAJAMARCA,CHOTA,CHOTA,2772,63,6,0.9940357852882704,0.9523809523809524,0.6249999999999999,1.59,0.337,1.47,0,0,0,0,0.0104,0.005,0.9,0.0,0.42,2,1,0.6
648,CAJAMARCA,CHOTA,CHOTA,2772,94,10,1.0,1.0,1.0,1.59,0.337,1.47,1,0,0,0,0.0104,0.02,1.2,0.0,0.42,2,1,0.6
649,CAJAMARCA,CHOTA,CHOTA,2772,118,12,0.8888888888888888,1.0,0.2777777777777778,1.59,0.337,1.47,1,1,0,0,0.0104,0.02,0.7,0.0,0.42,2,1,1.0
650,CAJAMARCA,CHOTA,CHOTA,2813,19,3,1.0,1.0,0.22580645161290325,1.59,0.337,1.47,1,0,0,0,0.0104,0.005,1.4285714285714284,0.0,0.42,2,1,0.5
651,CAJAMARCA,CHOTA,HUAMBOS,2664,33,3,0.0625,0.0297951582867784,0.06557377049180327,1.47,0.465,1.47,1,0,0,0,0.00185,0.001,0.5625,0.0,0.0,1,1,0.8
652,CAJAMARCA,CHOTA,HUAMBOS,2664,51,5,1.0,1.0,0.5555555555555556,1.47,0.465,1.47,1,0,0,0,0.00185,0.0075,0.5,0.0,0.0,1,1,0.7
653,CAJAMARCA,CHOTA,HUAMBOS,2671,27,5,0.5263157894736842,0.4098360655737705,0.09009009009009007,1.47,0.465,1.47,1,1,0,0,0.00185,0.005,1.0,0.0,0.0,2,1,0.5
654,CAJAMARCA,CHOTA,HUAMBOS,2671,90,13,0.4,0.16666666666666666,0.1092896174863388,1.47,0.465,1.47,0,0,0,0,0.00185,0.005,0.625,0.0,0.0,2,1,0.6
