,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,marketChannelDirectedness,farmGatePricePerKg
54,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,9204,83,11,0.75,0.5294117647058824,0.2413793103448276,1.15,0.4900000000000001,0.6769999999999999,0,0,0,0,0.001393,0.0006900000000000001,7.885714285714286e-05,0.0,0.0,1,1,1.3043478260869563
55,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,9210,42,6,0.8333333333333334,0.8536585365853658,0.3191489361702128,1.15,0.4900000000000001,0.6769999999999999,0,0,0,0,0.001393,0.0072,1.2,0.0,0.0,1,1,0.9722222222222222
56,ANCASH,HUARAZ,COCHABAMBA,8727,3,1,0.9397590361445785,0.7165354330708661,0.7272727272727273,0.708,0.265,0.6769999999999999,0,0,0,0,0.001872,0.01872,0.4032,0.0,0.0,1,1,0.9722222222222222
57,ANCASH,HUARAZ,HUARAZ,8894,20,3,1.0,1.0,0.4,0.6900000000000001,0.0,0.6769999999999999,0,0,0,0,0.001396,0.001,7.5e-05,0.0,0.0,1,4,1.0
58,ANCASH,HUARAZ,HUARAZ,8894,79,11,0.5783132530120482,0.8163265306122449,0.5263157894736842,0.6900000000000001,0.0,0.6769999999999999,0,0,0,0,0.001396,0.00576,0.8640000000000001,1.0,0.0,1,3,0.6944444444444444
59,ANCASH,HUARAZ,HUARAZ,8931,46,6,0.8333333333333334,0.8064516129032258,0.2380952380952381,0.6900000000000001,0.0,0.6769999999999999,0,0,1,1,0.001396,0.0072,0.72,0.0,0.0,1,4,1.25
60,ANCASH,HUARAZ,INDEPENDENCIA,8774,83,13,0.8,0.6153846153846154,0.4897959183673469,0.7170000000000001,0.025,0.6769999999999999,1,0,0,0,0.00059,0.002,4.1666666666666665e-05,0.0,0.0,1,3,1.0
61,ANCASH,HUARAZ,INDEPENDENCIA,8809,84,11,1.0,1.0,1.0,0.7170000000000001,0.025,0.6769999999999999,1,0,1,0,0.00059,0.0025,6.428571428571429e-05,0.0,0.0,1,3,0.9
62,ANCASH,HUARAZ,INDEPENDENCIA,8856,95,14,0.5384615384615384,0.4166666666666667,0.2,0.7170000000000001,0.025,0.6769999999999999,0,0,0,0,0.00059,0.0014,0.294,0.0,0.0,1,3,0.7142857142857143
63,ANCASH,HUARAZ,JANGAS,8756,40,5,0.9957325746799432,0.9839572192513372,0.3816793893129771,0.8099999999999999,0.13,0.6769999999999999,0,0,0,0,0.0014,0.013999999999999999,0.000175,0.0,0.0,1,4,0.6571428571428571
64,ANCASH,HUARAZ,OLLEROS,8960,55,7,1.0,1.0,1.0,0.6719999999999999,0.06,0.6769999999999999,0,0,0,0,0.00504,0.0288,8.640000000000001e-05,0.0,0.0,3,1,0.5555555555555556
65,ANCASH,HUARAZ,OLLEROS,8960,102,13,0.9230769230769232,0.8333333333333334,0.7894736842105263,0.6719999999999999,0.06,0.6769999999999999,0,0,0,0,0.00504,0.0216,0.0001608,0.0,0.0,1,2,0.8333333333333334
66,ANCASH,HUARAZ,PIRA,8873,342,14,0.29798241076047594,0.443213296398892,0.5033557046979866,0.752,0.147,0.6769999999999999,0,0,1,0,0.000576,0.00576,0.84,0.0,0.0,2,2,1.6666666666666667
67,ANCASH,HUARI,ANRA,9414,30,4,1.0,1.0,0.37735849056603776,0.957,0.4320000000000001,0.6769999999999999,1,0,0,0,0.000466,0.0025,8.333333333333333e-05,0.0,0.0,1,4,1.0
68,ANCASH,HUARI,ANRA,9414,116,14,0.8780487804878049,1.0,0.25,0.957,0.4320000000000001,0.6769999999999999,1,0,0,0,0.000466,0.00216,0.000108,0.0,0.0,1,4,0.9722222222222222
69,ANCASH,HUARI,CHAVIN DE HUANTAR,9324,46,5,0.9162248144220572,0.7792207792207793,0.4807692307692308,0.748,0.205,0.6769999999999999,1,0,0,0,0.006792,0.0216,0.0001296,0.0,0.0,1,3,0.5555555555555556
