,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,marketChannelDirectedness,farmGatePricePerKg
127,HUANUCO,PACHITEA,PANAO,9984,32,5,0.7887323943661971,0.8301886792452831,0.4081632653061224,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,0.055999999999999994,0.315,0.0,0.04,3,3,0.7857142857142857
128,HUANUCO,PACHITEA,PANAO,9989,125,14,0.6428571428571429,0.5283018867924528,0.5,1.0,0.17300000000000001,0.82,1,1,0,0,1.2179799999999998,0.063,1.12,0.0,0.04,1,1,0.4
129,HUANUCO,PACHITEA,UMARI,9921,8,1,0.5952380952380952,0.4270462633451957,0.3333333333333333,0.9620000000000001,0.133,0.82,1,0,0,0,0.0569,0.07,1.6,0.0,0.0,1,2,0.6
130,HUANUCO,PACHITEA,UMARI,9921,18,2,0.8831521739130435,0.8074534161490683,0.6165228113440198,0.9620000000000001,0.133,0.82,1,0,0,0,0.0569,0.065,1.5,0.0,0.0,1,3,0.6
131,HUANUCO,PACHITEA,UMARI,9921,61,8,0.7860615883306321,0.6818638280779273,0.6,0.9620000000000001,0.133,0.82,1,0,0,0,0.0569,0.09699999999999999,0.4893333333333333,0.0,0.0,1,3,0.7
132,HUANUCO,PACHITEA,UMARI,9921,81,10,0.8003369839932604,0.6216599411059003,0.3333333333333333,0.9620000000000001,0.133,0.82,1,1,0,0,0.0569,0.095,0.44,0.0,0.0,1,3,0.6
133,HUANUCO,PACHITEA,UMARI,9921,101,14,0.9025787965616046,0.7621845834773592,0.2857142857142857,0.9620000000000001,0.133,0.82,1,0,0,0,0.0569,0.063,2.94,0.0,0.0,1,3,0.7
134,HUANUCO,YAROWILCA,CHORAS,10280,78,8,1.0,1.0,1.0,1.04,0.253,0.82,0,0,0,0,0.09695,0.0888,2.106122448979592,0.0,0.0,1,2,1.0225308641975308
135,JUNIN,CHUPACA,CHONGOS BAJO,11835,56,9,0.5789473684210527,0.3822393822393823,0.5261561789234268,0.607,0.06,0.645,0,0,0,0,0.02277,0.055,0.0001080691642651297,0.0,0.0,1,2,0.9
136,JUNIN,CHUPACA,CHUPACA,11777,21,4,0.7005758157389635,0.5140845070422535,0.5416716921963575,0.575,0.037000000000000005,0.645,1,0,1,0,0.094855,0.073,0.000167000668002672,0.0,0.41,3,1,0.8
137,JUNIN,CHUPACA,CHUPACA,11787,10,2,0.6,0.39130434782608703,0.5182731841023298,0.575,0.037000000000000005,0.645,0,0,0,0,0.094855,0.0525,0.000123402379903041,0.0,0.41,1,2,0.8571428571428571
138,JUNIN,CONCEPCION,HEROINAS TOLEDO,11671,94,11,1.0,1.0,1.0,0.55,0.062,0.645,0,0,0,0,0.02599,0.05,0.6666666666666667,0.0,0.0,1,2,1.0
139,JUNIN,CONCEPCION,HEROINAS TOLEDO,11673,47,7,0.5102040816326531,0.4569190600522193,0.4608294930875576,0.55,0.062,0.645,1,0,0,0,0.02599,0.05,0.6,0.0,0.0,2,2,0.7
140,JUNIN,CONCEPCION,NUEVE DE JULIO,11680,18,4,0.875,0.8484848484848485,0.17543859649122806,0.55,0.062,0.645,1,0,1,0,0.0531,0.07,1.6,1.0,0.0,3,2,0.8
141,JUNIN,CONCEPCION,NUEVE DE JULIO,11680,58,10,0.4382022471910113,0.4212962962962963,1.0,0.55,0.062,0.645,0,0,0,1,0.0531,0.078,1.8,0.0,0.0,2,2,0.7
142,JUNIN,CONCEPCION,ORCOTUNA,11705,105,14,0.6278026905829597,0.38706933219906425,0.3257328990228013,0.55,0.048,0.645,1,0,0,0,0.02114,0.07,0.75,0.0,0.0,2,2,0.65
143,JUNIN,CONCEPCION,SAN JOSE DE QUERO,11734,35,4,0.9890520029858174,0.9240604416892676,0.8666666666666667,0.597,0.11800000000000001,0.645,1,0,1,0,0.012245,0.0795,0.00013076923076923077,0.0,0.0,2,2,0.6
144,JUNIN,HUANCAYO,PILCOMAYO,11921,71,8,0.1801801801801801,0.1745635910224439,0.21975120291045647,0.562,0.028000000000000004,0.645,0,0,0,0,0.01314,0.07,0.00018691588785046728,0.0,0.08,1,1,0.5
145,JUNIN,JAUJA,APATA,11496,9,3,0.3793103448275862,0.4271844660194175,0.25806451612903225,0.545,0.08800000000000001,0.645,1,0,0,0,0.04115,0.055,0.0001575,0.0,0.0,3,2,0.8
146,JUNIN,JAUJA,JANJAILLO,11633,29,2,0.6779661016949152,0.4606525911708254,0.2719665271966527,0.522,0.142,0.645,1,0,0,0,0.015780000000000002,0.06,0.00012923076923076923,0.0,0.0,1,2,0.6
