,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,simplifiedMarketChannelDirectedness,farmGatePricePerKg
163,HUANUCO,PACHITEA,PANAO,9975,40,6,0.9932432432432432,0.9767441860465116,0.8,1.0,0.17300000000000001,0.82,1,1,0,0,1.2179799999999998,0.2646,2.66,0.0,0.04,3,1,0.8571428571428571
164,HUANUCO,PACHITEA,PANAO,9975,59,8,0.9774162214667316,0.9771386430678466,0.8571428571428571,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,0.805,2.765,0.0,0.04,3,1,1.4285714285714284
165,HUANUCO,PACHITEA,PANAO,9975,82,11,0.8247422680412371,0.8547008547008547,0.7621951219512195,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,0.56,2.975,0.0,0.04,3,2,1.0
166,HUANUCO,PACHITEA,PANAO,9975,103,13,0.9996717005909388,0.9988518943742823,0.7743933918430562,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,0.609,4.386666666666666,0.0,0.04,3,1,0.8571428571428571
167,HUANUCO,PACHITEA,PANAO,9984,6,1,0.7592190889370932,0.7072135785007072,0.6004803843074459,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,0.14,2.0533333333333332,0.0,0.04,3,1,0.7142857142857143
168,HUANUCO,PACHITEA,PANAO,9984,13,2,0.967741935483871,0.9584664536741214,0.8,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,0.21,2.24,0.0,0.04,3,1,0.7142857142857143
169,HUANUCO,PACHITEA,PANAO,9984,22,4,0.9569377990430622,0.9587727708533078,0.6666666666666666,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,0.28,2.464,0.0,0.04,1,1,0.7142857142857143
170,HUANUCO,PACHITEA,PANAO,9984,41,6,0.9270959902794652,0.9784560143626572,0.8239171374764597,1.0,0.17300000000000001,0.82,0,0,0,0,1.2179799999999998,0.3815,2.28,0.0,0.04,3,1,0.7142857142857143
171,HUANUCO,PACHITEA,PANAO,9984,52,8,0.5592196934509986,0.4811996418979409,0.45,1.0,0.17300000000000001,0.82,0,0,0,0,1.2179799999999998,0.602,2.8,0.0,0.04,3,1,0.7142857142857143
172,HUANUCO,PACHITEA,PANAO,9984,72,11,0.8351648351648352,0.8444444444444444,0.529688972667295,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,0.133,2.7402135231316724,0.0,0.04,1,1,0.7142857142857143
173,HUANUCO,PACHITEA,PANAO,9984,81,12,0.7506702412868632,0.7763975155279503,0.4,1.0,0.17300000000000001,0.82,1,1,0,0,1.2179799999999998,0.14,2.0533333333333332,0.0,0.04,3,1,0.7142857142857143
